,DeID,Transfer Status,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
181,S5EU75KN,False,96.0,93.1333333,88.4333333,87.5,94.72,39.53,98.11999999999999,98.0,98.75,"Gillespie, Gary N                  ",Y,Y,A  
182,S66W2MVT,False,100.0,76.86666670000001,73.16666670000001,91.25,84.41333329999999,87.68,91.68799999999999,54.24,89.095,"Gillespie, Gary N                  ",Y,Y,B  
183,SF8HBUS0,False,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Gillespie, Gary N                  ",Y,Y,F  
184,SFG7CY2P,False,100.0,83.3333333,100.0,100.0,59.893333299999995,70.27,99.064,85.4266667,88.655,"Gillespie, Gary N                  ",Y,Y,A  
188,T305I2KC,False,80.0,53.933333299999994,14.400000000000002,67.5,6.0,30.78,49.464,45.5,89.565,"Gillespie, Gary N                  ",Y,Y,C+ 
189,T7HAIDZ1,False,100.0,66.2666667,63.5,85.0,73.3866667,33.19,68.176,70.66666670000001,98.11999999999999,"Gillespie, Gary N                  ",Y,Y,C+ 
190,THFZICSB,False,84.0,98.0333333,95.4333333,62.5,65.8933333,98.72,95.44,93.9533333,100.0,"Gillespie, Gary N                  ",Y,Y,A  
191,TICH0F9P,False,100.0,91.3666667,95.1,86.25,85.33333329999999,97.72,96.8,87.9066667,97.815,"Gillespie, Gary N                  ",Y,Y,A  
192,TJ9QJ4TR,False,40.0,71.2666667,90.0,93.75,50.28,84.33,99.2,100.0,88.225,"Gillespie, Gary N                  ",Y,Y,B  
193,U6U9L41K,False,100.0,87.06666670000001,97.53333330000001,98.75,87.44,93.83,85.14399999999999,100.0,94.71000000000001,"Gillespie, Gary N                  ",Y,Y,A  
194,UJ69VAGY,False,100.0,86.86666670000001,77.9,45.0,50.66666670000001,86.0,83.096,69.0933333,83.82,"Gillespie, Gary N                  ",Y,Y,A- 
195,UR0S4SRF,False,100.0,62.533333299999995,92.1,100.0,94.72,98.33,87.928,99.33333329999999,94.035,"Gillespie, Gary N                  ",Y,Y,A  
196,UTQXMBI6,False,100.0,86.0666667,77.0333333,47.5,82.2,71.2,98.11999999999999,77.86,32.6,"Gillespie, Gary N                  ",Y,Y,B- 
197,UZAIY7HS,False,100.0,94.7,53.7,78.75,53.0,72.88,85.136,97.5,91.565,"Gillespie, Gary N                  ",Y,Y,A  
198,V36PA739,False,100.0,86.4666667,96.3,63.74999999999999,38.6666667,96.0,49.36,43.6666667,45.3,"Gillespie, Gary N                  ",Y,Y,C+ 
199,VG3O092O,False,100.0,73.13333329999999,70.16666670000001,27.500000000000004,92.05333329999999,42.46,56.943999999999996,87.62,77.155,"Gillespie, Gary N                  ",Y,Y,F  
